Customer_ID,Age,Gender,Annual_Income,Spending_Score,Region,Marital_Status,Num_of_Children,Employment_Status,Credit_Score,Online_Shopping_Frequency,Target
CUST_1,25,Female,66041,15,South,Widowed,1,Unemployed,332,12,0
CUST_2,66,Male,46937,39,South,Single,0,Retired,550,4,0
CUST_3,18,Male,142885,65,South,Single,2,Retired,503,7,0
CUST_4,19,Female,146383,91,South,Divorced,0,Unemployed,759,9,0
CUST_5,57,Male,47686,47,West,Widowed,4,Retired,598,0,0
CUST_6,67,Male,27691,47,West,Widowed,2,Unemployed,556,6,0
CUST_7,32,Male,68049,53,South,Widowed,3,Employed,410,7,1
CUST_8,58,Female,57465,74,North,Single,2,Student,554,3,1
CUST_9,68,Female,128034,25,East,Widowed,1,Student,613,18,0
CUST_10,59,Female,64822,59,North,Single,3,Unemployed,455,9,0
CUST_11,49,Male,57192,85,East,Divorced,4,Retired,418,4,0
CUST_12,30,Female,121634,58,South,Single,1,Retired,329,9,1
CUST_13,42,Male,67566,54,North,Divorced,4,Employed,403,13,0
CUST_14,59,Male,54441,26,East,Single,0,Unemployed,365,14,1
CUST_15,55,Male,135223,50,West,Single,0,Student,351,3,1
CUST_16,28,Male,33665,3,North,Divorced,3,Unemployed,361,6,0
CUST_17,50,Male,77401,92,North,Single,3,Employed,308,16,0
CUST_18,50,Male,37790,50,West,Single,4,Unemployed,429,6,1
CUST_19,37,Female,89025,63,East,Widowed,2,Employed,570,1,0
CUST_20,24,Female,102058,77,West,Single,2,Retired,539,9,0
CUST_21,26,Female,131717,72,East,Married,1,Retired,420,2,0
CUST_22,23,Male,50442,67,West,Single,1,Employed,823,13,0
CUST_23,49,Male,68539,7,South,Married,1,Student,841,19,0
CUST_24,60,Male,70375,19,West,Widowed,0,Student,748,18,0
CUST_25,59,Male,40867,22,North,Widowed,2,Employed,327,10,1
CUST_26,25,Male,77339,42,North,Widowed,3,Student,625,9,1
CUST_27,58,Male,55872,65,South,Widowed,0,Student,340,11,0
CUST_28,49,Female,45451,78,East,Married,4,Student,601,17,0
CUST_29,54,Female,107258,26,East,Married,0,Employed,722,18,0
CUST_30,37,Female,145121,2,East,Single,2,Employed,823,9,0
CUST_31,61,Male,147835,29,West,Married,2,Student,514,10,0
CUST_32,67,Female,72622,71,West,Single,0,Retired,319,12,0
CUST_33,42,Male,35740,79,North,Married,4,Student,762,13,0
CUST_34,32,Male,75839,26,South,Married,3,Retired,816,6,0
CUST_35,63,Male,76684,82,North,Single,4,Employed,603,12,1
CUST_36,65,Male,76032,27,East,Married,0,Unemployed,407,8,0
CUST_37,68,Female,39937,93,North,Married,1,Student,546,17,1
CUST_38,43,Female,56911,65,West,Married,1,Retired,352,3,0
CUST_39,43,Female,129820,78,West,Single,1,Retired,633,9,1
CUST_40,51,Female,126960,76,East,Divorced,4,Student,307,12,1
CUST_41,62,Male,37550,23,North,Divorced,1,Unemployed,566,18,1
CUST_42,31,Male,89200,88,South,Married,4,Student,843,11,0
CUST_43,51,Female,143968,77,West,Divorced,1,Employed,417,1,0
CUST_44,54,Male,75211,6,West,Married,1,Student,568,0,0
CUST_45,32,Male,26024,60,South,Widowed,1,Unemployed,461,14,1
CUST_46,21,Female,75115,92,West,Single,2,Employed,633,5,0
CUST_47,65,Male,141527,14,East,Single,4,Employed,526,19,0
CUST_48,60,Female,100495,60,East,Widowed,1,Employed,472,13,0
CUST_49,22,Male,86517,16,East,Single,2,Retired,402,3,1
CUST_50,21,Male,66235,10,North,Widowed,4,Retired,691,9,0
CUST_51,34,Female,102701,18,East,Single,2,Employed,485,13,1
CUST_52,28,Female,144057,44,North,Married,4,Unemployed,749,2,0
CUST_53,44,Female,62960,1,East,Single,2,Student,370,14,0
CUST_54,50,Female,102836,64,West,Divorced,3,Unemployed,500,18,0
CUST_55,19,Female,34372,19,East,Married,1,Unemployed,334,1,0
CUST_56,57,Female,63465,3,South,Single,4,Retired,692,7,0
CUST_57,40,Female,136357,86,East,Divorced,4,Retired,475,11,0
CUST_58,26,Female,37749,41,West,Married,1,Retired,826,0,0
CUST_59,52,Female,36276,43,East,Single,4,Employed,314,18,0
CUST_60,43,Female,104150,98,North,Single,4,Employed,691,14,0
CUST_61,35,Male,67405,39,North,Single,1,Student,543,12,0
CUST_62,26,Male,119701,4,East,Married,2,Employed,369,0,0
CUST_63,31,Male,116731,84,South,Widowed,0,Student,457,15,1
CUST_64,43,Female,140140,35,South,Single,0,Retired,593,9,1
CUST_65,57,Male,23825,77,East,Divorced,3,Unemployed,696,13,1
CUST_66,23,Female,42552,91,North,Divorced,0,Unemployed,465,14,0
CUST_67,21,Male,99948,81,West,Single,3,Student,469,18,0
CUST_68,49,Female,29400,48,North,Single,3,Student,814,19,0
CUST_69,58,Male,108879,61,South,Single,2,Retired,623,18,1
CUST_70,64,Female,78852,85,West,Married,1,Unemployed,679,2,0
CUST_71,33,Female,122460,5,South,Widowed,3,Student,776,7,1
CUST_72,56,Female,20179,49,North,Single,0,Student,638,5,0
CUST_73,60,Female,40852,34,East,Divorced,4,Employed,330,14,0
CUST_74,28,Female,32646,71,East,Married,4,Employed,330,18,0
CUST_75,37,Male,36211,38,West,Widowed,3,Student,422,4,1
CUST_76,45,Male,53604,53,West,Single,2,Unemployed,571,4,0
